open_time,open,high,low,close,volume,close_time
1642953600000,2432.49000000,2454.44000000,2375.82000000,2384.01000000,68448.17660000,1642967999999
1642968000000,2384.01000000,2547.65000000,2370.80000000,2539.01000000,120850.32780000,1642982399999
1642982400000,2539.00000000,2539.75000000,2431.80000000,2459.69000000,82992.10450000,1642996799999
1642996800000,2459.69000000,2471.38000000,2380.48000000,2386.65000000,58766.07060000,1643011199999
1643011200000,2386.65000000,2446.20000000,2200.90000000,2238.36000000,288094.33409000,1643025599999
1643025600000,2238.36000000,2286.24000000,2159.00000000,2274.99000000,341314.49910000,1643039999999
1643040000000,2274.55000000,2406.73000000,2212.30000000,2378.92000000,251502.37270000,1643054399999
1643054400000,2378.92000000,2480.58000000,2368.28000000,2439.29000000,100465.32290000,1643068799999
1643068800000,2439.56000000,2442.90000000,2377.60000000,2415.76000000,63630.79960000,1643083199999
1643083200000,2415.76000000,2421.96000000,2348.96000000,2383.35000000,54009.28460000,1643097599999
1643097600000,2383.35000000,2453.06000000,2373.56000000,2424.33000000,88550.99810000,1643111999999
1643112000000,2424.32000000,2469.12000000,2365.23000000,2419.34000000,147064.49640000,1643126399999
1643126400000,2419.03000000,2506.55000000,2412.51000000,2466.28000000,94992.90600000,1643140799999
1643140800000,2466.28000000,2471.46000000,2404.51000000,2458.83000000,61904.46930000,1643155199999
1643155200000,2459.04000000,2484.76000000,2414.71000000,2476.26000000,56940.21810000,1643169599999
1643169600000,2476.26000000,2500.00000000,2444.49000000,2461.46000000,55882.22390000,1643183999999
1643184000000,2461.17000000,2548.20000000,2460.37000000,2546.58000000,87523.28370000,1643198399999
1643198400000,2546.58000000,2668.58000000,2524.40000000,2605.44000000,192482.63529000,1643212799999
1643212800000,2605.44000000,2722.00000000,2560.00000000,2573.83000000,232020.71380000,1643227199999
1643227200000,2573.84000000,2573.84000000,2402.03000000,2462.99000000,181592.54810000,1643241599999
1643241600000,2463.00000000,2495.25000000,2354.02000000,2364.87000000,135651.74750000,1643255999999
1643256000000,2364.87000000,2419.63000000,2360.75000000,2403.78000000,64172.81880000,1643270399999
1643270400000,2403.78000000,2459.01000000,2385.19000000,2456.66000000,69239.53830000,1643284799999
1643284800000,2456.67000000,2521.00000000,2442.42000000,2479.84000000,100104.52770000,1643299199999
1643299200000,2479.60000000,2496.25000000,2390.50000000,2394.90000000,87427.10950000,1643313599999
1643313600000,2394.90000000,2431.23000000,2316.43000000,2424.25000000,142885.97410000,1643327999999
1643328000000,2424.02000000,2455.00000000,2360.00000000,2446.92000000,81391.24000000,1643342399999
1643342400000,2446.91000000,2474.09000000,2390.00000000,2390.30000000,69083.78540000,1643356799999
1643356800000,2390.31000000,2420.99000000,2371.87000000,2396.84000000,65439.24710000,1643371199999
1643371200000,2396.84000000,2448.60000000,2357.88000000,2442.94000000,111047.40770000,1643385599999
1643385600000,2442.94000000,2492.26000000,2425.51000000,2461.74000000,76347.33620000,1643399999999
1643400000000,2461.74000000,2558.98000000,2459.44000000,2544.99000000,81840.79010000,1643414399999
1643414400000,2544.99000000,2585.89000000,2520.01000000,2541.48000000,59693.88660000,1643428799999
1643428800000,2541.48000000,2570.00000000,2522.65000000,2567.94000000,62503.01360000,1643443199999
1643443200000,2567.94000000,2578.62000000,2535.00000000,2554.84000000,38563.48480000,1643457599999
1643457600000,2554.83000000,2607.69000000,2523.65000000,2543.36000000,104068.69850000,1643471999999
1643472000000,2543.68000000,2605.55000000,2527.01000000,2589.99000000,47441.48760000,1643486399999
1643486400000,2589.99000000,2636.66000000,2580.25000000,2601.43000000,64396.25350000,1643500799999
1643500800000,2601.43000000,2614.97000000,2563.49000000,2570.48000000,44801.72250000,1643515199999
1643515200000,2570.48000000,2632.40000000,2568.00000000,2618.89000000,52402.51980000,1643529599999
1643529600000,2618.89000000,2640.00000000,2597.30000000,2626.24000000,35595.54590000,1643543999999
1643544000000,2626.24000000,2639.00000000,2585.58000000,2617.20000000,44431.92670000,1643558399999
1643558400000,2617.19000000,2624.66000000,2552.95000000,2560.25000000,42945.55360000,1643572799999
1643572800000,2560.25000000,2632.60000000,2542.50000000,2601.68000000,70592.81740000,1643587199999
1643587200000,2601.67000000,2608.48000000,2490.75000000,2512.07000000,100103.86060000,1643601599999
1643601600000,2512.07000000,2529.54000000,2476.07000000,2529.07000000,38461.91550000,1643615999999
1643616000000,2529.07000000,2569.75000000,2518.45000000,2558.01000000,43930.58620000,1643630399999
1643630400000,2558.00000000,2635.00000000,2520.00000000,2620.66000000,88049.15610000,1643644799999
1643644800000,2620.66000000,2706.77000000,2613.35000000,2672.72000000,120641.95050000,1643659199999
1643659200000,2672.50000000,2705.84000000,2662.51000000,2686.94000000,53397.38210000,1643673599999
1643673600000,2686.94000000,2757.90000000,2673.52000000,2751.62000000,68492.66632000,1643687999999
1643688000000,2751.63000000,2767.31000000,2718.22000000,2736.69000000,45243.85150000,1643702399999
1643702400000,2736.69000000,2796.79000000,2719.00000000,2761.32000000,82354.48390000,1643716799999
1643716800000,2761.31000000,2811.26000000,2732.05000000,2768.54000000,99189.54140000,1643731199999
1643731200000,2768.14000000,2813.00000000,2750.44000000,2751.02000000,60826.61300000,1643745599999
1643745600000,2751.03000000,2804.02000000,2750.42000000,2787.23000000,33927.11750000,1643759999999
1643760000000,2787.48000000,2803.53000000,2741.67000000,2781.05000000,46737.21050000,1643774399999
1643774400000,2781.05000000,2781.43000000,2741.05000000,2749.36000000,40480.24190000,1643788799999
1643788800000,2749.35000000,2777.71000000,2740.00000000,2766.89000000,31003.41060000,1643803199999
1643803200000,2766.90000000,2810.88000000,2652.92000000,2663.90000000,133187.31620000,1643817599999
1643817600000,2663.90000000,2719.92000000,2638.00000000,2707.21000000,82544.59820000,1643831999999
1643832000000,2707.26000000,2735.00000000,2612.72000000,2680.67000000,113899.34540000,1643846399999
1643846400000,2680.25000000,2726.64000000,2651.56000000,2657.65000000,65217.38930000,1643860799999
1643860800000,2657.65000000,2677.58000000,2638.00000000,2671.40000000,53763.76970000,1643875199999
1643875200000,2671.35000000,2685.00000000,2582.75000000,2621.91000000,76771.15450000,1643889599999
1643889600000,2622.00000000,2648.40000000,2576.05000000,2640.01000000,91852.47600000,1643903999999
1643904000000,2640.00000000,2659.87000000,2590.66000000,2598.11000000,52352.31000000,1643918399999
